,module name,input shape,output shape,params,memory(MB),MAdd,Flops,MemRead(B),MemWrite(B),duration[%],MemR+W(B),DataSize,height
216,layer3.22.bn2,256  14  14,256  14  14,512,0.19,"200,704.00","100,352.00",202752,200704,0.00%,403456,0.191,14
217,layer3.22.conv3,256  14  14,1024  14  14,262144,0.77,"102,559,744.00","51,380,224.00",1249280,802816,0.55%,2052096,0.191,14
218,layer3.22.bn3,1024  14  14,1024  14  14,2048,0.77,"802,816.00","401,408.00",811008,802816,0.00%,1613824,0.765,14
219,layer3.22.relu,1024  14  14,1024  14  14,0,0.77,"200,704.00","200,704.00",802816,802816,0.00%,1605632,0.765,14
220,layer4.0.conv1,1024  14  14,512  14  14,524288,0.38,"205,420,544.00","102,760,448.00",2899968,401408,0.48%,3301376,0.765,14
221,layer4.0.bn1,512  14  14,512  14  14,1024,0.38,"401,408.00","200,704.00",405504,401408,0.00%,806912,0.382,14
222,layer4.0.conv2,512  14  14,512   7   7,2359296,0.1,"231,185,920.00","115,605,504.00",9838592,100352,1.07%,9938944,0.382,14
223,layer4.0.bn2,512   7   7,512   7   7,1024,0.1,"100,352.00","50,176.00",104448,100352,0.00%,204800,0.096,7
224,layer4.0.conv3,512   7   7,2048   7   7,1048576,0.38,"102,660,096.00","51,380,224.00",4294656,401408,0.58%,4696064,0.096,7
225,layer4.0.bn3,2048   7   7,2048   7   7,4096,0.38,"401,408.00","200,704.00",417792,401408,0.00%,819200,0.191,7
226,layer4.0.relu,2048   7   7,2048   7   7,0,0.38,"100,352.00","100,352.00",401408,401408,0.00%,802816,0.191,7
227,layer4.0.downsample.0,1024  14  14,2048   7   7,2097152,0.38,"205,420,544.00","102,760,448.00",9191424,401408,1.07%,9592832,0.191,14
228,layer4.0.downsample.1,2048   7   7,2048   7   7,4096,0.38,"401,408.00","200,704.00",417792,401408,0.00%,819200,0.191,7
229,layer4.1.conv1,2048   7   7,512   7   7,1048576,0.1,"102,735,360.00","51,380,224.00",4595712,100352,0.53%,4696064,0.191,7
230,layer4.1.bn1,512   7   7,512   7   7,1024,0.1,"100,352.00","50,176.00",104448,100352,0.00%,204800,0.096,7
